product_id,slug,product_name,category,manufacturer,model,use_case,main_spec_label,main_spec_value,sub_spec_label,sub_spec_value,voltage,power_kw,price_krw,lead_time_days,stock_status,certification,featured,summary
EQ-AC-001,ac-001-ac-643b,스크류 콤프레서 PRO-100,공기압축기,코리아센서,AC-643B,식품·제약 공정,토출량,4.5 ㎥/min,최대 압력,8 bar,380V,22,10320000,14,재고 있음,ISO 9001,true,"식품·제약 공정에 적합한 공기압축기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-AC-002,ac-002-ac-974a,소형 피스톤 콤프레서 MAX-120,공기압축기,에어메이트,AC-974A,식품·제약 공정,토출량,2.8 ㎥/min,최대 압력,8 bar,220/380V,11,9720000,3,주문 생산,ISO 9001,false,"식품·제약 공정에 적합한 공기압축기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-AC-003,ac-003-ac-942a,인버터 콤프레서 PRO-140,공기압축기,하이맥스,AC-942A,레이저 가공 설비,토출량,7.1 ㎥/min,최대 압력,13 bar,380V,37,4780000,3,주문 생산,해당 없음,false,"레이저 가공 설비에 적합한 공기압축기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-AC-004,ac-004-ac-358a,오일프리 콤프레서 SMART-160,공기압축기,에어메이트,AC-358A,레이저 가공 설비,토출량,7.1 ㎥/min,최대 압력,8 bar,380V,30,11050000,5,재고 있음,ISO 9001,true,"레이저 가공 설비에 적합한 공기압축기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-AC-005,ac-005-ac-964x,스크류 콤프레서 SMART-180,공기압축기,세진테크,AC-964X,자동화 생산라인,토출량,1.2 ㎥/min,최대 압력,8 bar,220/380V,5.5,11690000,14,입고 예정,ISO 9001,false,"자동화 생산라인에 적합한 공기압축기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-AC-006,ac-006-ac-812s,인버터 콤프레서 PRO-200,공기압축기,청우기전,AC-812S,정비 작업장,토출량,2.8 ㎥/min,최대 압력,10 bar,380V,15,12480000,7,재고 있음,KC·CE,false,"정비 작업장에 적합한 공기압축기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-AC-007,ac-007-ac-199b,소형 피스톤 콤프레서 PRO-220,공기압축기,하이맥스,AC-199B,자동화 생산라인,토출량,7.1 ㎥/min,최대 압력,13 bar,220/380V,37,16030000,10,재고 있음,CE,false,"자동화 생산라인에 적합한 공기압축기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-AC-008,ac-008-ac-197a,인버터 콤프레서 MAX-240,공기압축기,에어메이트,AC-197A,레이저 가공 설비,토출량,2.8 ㎥/min,최대 압력,13 bar,380V,18.5,7370000,10,재고 있음,KC,false,"레이저 가공 설비에 적합한 공기압축기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-PM-009,pm-009-pm-128x,고점도 이송펌프 ECO-100,산업용 펌프,동우산업,PM-128X,급수·가압,유량,150 L/min,양정,48 m,220/380V,7.5,6290000,3,주문 생산,KC·CE,true,"급수·가압에 적합한 산업용 펌프 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-PM-010,pm-010-pm-913s,스테인리스 원심펌프 PRO-120,산업용 펌프,코리아센서,PM-913S,식품 원료 이송,유량,150 L/min,양정,48 m,380V,7.5,1490000,5,재고 있음,KC·CE,false,"식품 원료 이송에 적합한 산업용 펌프 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-PM-011,pm-011-pm-781x,수직 다단펌프 MAX-140,산업용 펌프,에어메이트,PM-781X,식품 원료 이송,유량,80 L/min,양정,48 m,380V,2.2,1470000,5,재고 있음,ISO 9001,false,"식품 원료 이송에 적합한 산업용 펌프 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-PM-012,pm-012-pm-498b,수직 다단펌프 MAX-160,산업용 펌프,하이맥스,PM-498B,식품 원료 이송,유량,80 L/min,양정,48 m,380V,2.2,3730000,21,재고 있음,KC·CE,true,"식품 원료 이송에 적합한 산업용 펌프 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-PM-013,pm-013-pm-588s,고점도 이송펌프 MAX-180,산업용 펌프,하이맥스,PM-588S,약품 이송,유량,80 L/min,양정,32 m,220V,2.2,3430000,7,재고 있음,ISO 9001,false,"약품 이송에 적합한 산업용 펌프 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
